GYR_X,GYR_Y,GYR_Z,DATE,UNIX_TIMESTAMP,Line_Number
2.1074318885803223,0.8299626111984253,-2.111422777175904,2023-10-20T11:49:11.536018Z,1697802551535,275
2.123661518096924,0.8593618869781494,-2.12924861907959,2023-10-20T11:49:11.546847Z,1697802551546,276
2.13856053352356,0.8956785202026367,-2.137230396270752,2023-10-20T11:49:11.555946Z,1697802551555,277
2.1453449726104736,0.9410411715507508,-2.1370973587036133,2023-10-20T11:49:11.566518Z,1697802551566,278
2.137895345687866,0.9982432723045348,-2.129514694213867,2023-10-20T11:49:11.577678Z,1697802551577,279
2.113152265548706,1.068615198135376,-2.1138174533843994,2023-10-20T11:49:11.586353Z,1697802551586,280
2.075904369354248,1.14949631690979,-2.090670347213745,2023-10-20T11:49:11.595889Z,1697802551595,281
2.036527872085572,1.2351664304733276,-2.064064741134644,2023-10-20T11:49:11.606657Z,1697802551606,282
2.0004773139953613,1.3172447681427002,-2.037326097488404,2023-10-20T11:49:11.616172Z,1697802551616,283
1.9668211936950684,1.3873505592346191,-2.012316942214966,2023-10-20T11:49:11.627619Z,1697802551627,284
1.93170177936554,1.4402958154678345,-1.99036717414856,2023-10-20T11:49:11.636479Z,1697802551636,285
1.8911281824111936,1.4735528230667114,-1.972408413887024,2023-10-20T11:49:11.647811Z,1697802551647,286
1.841508746147156,1.4875208139419556,-1.9581743478775024,2023-10-20T11:49:11.660750Z,1697802551660,287
1.7844396829605105,1.4848601818084717,-1.9458028078079224,2023-10-20T11:49:11.667792Z,1697802551667,288
1.72683846950531,1.4703601598739624,-1.9334311485290527,2023-10-20T11:49:11.677505Z,1697802551677,289
1.6748244762420654,1.448277473449707,-1.9191972017288208,2023-10-20T11:49:11.688476Z,1697802551688,290
1.6291958093643188,1.420075535774231,-1.90283465385437,2023-10-20T11:49:11.697792Z,1697802551697,291
1.587291955947876,1.3833597898483276,-1.885807037353516,2023-10-20T11:49:11.710986Z,1697802551710,292
1.5427274703979492,1.3328090906143188,-1.870109796524048,2023-10-20T11:49:11.718148Z,1697802551718,293
1.4852592945098877,1.2631022930145264,-1.8574720621109009,2023-10-20T11:49:11.728932Z,1697802551728,294
1.4090341329574585,1.1754367351531982,-1.8480271100997925,2023-10-20T11:49:11.737479Z,1697802551737,295
1.3157814741134644,1.077794075012207,-1.8408435583114624,2023-10-20T11:49:11.749038Z,1697802551749,296
1.2140148878097534,0.9810826182365416,-1.834192156791687,2023-10-20T11:49:11.760646Z,1697802551760,297
1.1123814582824707,0.893683135509491,-1.825146198272705,2023-10-20T11:49:11.768875Z,1697802551768,298
1.0188626050949097,0.8217148780822754,-1.810513138771057,2023-10-20T11:49:11.778057Z,1697802551778,299
0.941972315311432,0.7724944949150085,-1.7868341207504272,2023-10-20T11:49:11.789675Z,1697802551789,300
0.8879629373550415,0.7506778836250305,-1.7523798942565918,2023-10-20T11:49:11.798874Z,1697802551798,301
0.8589627742767334,0.7558659315109253,-1.7067512273788452,2023-10-20T11:49:11.811010Z,1697802551810,302
0.8541737794876099,0.7822055220603943,-1.6511454582214355,2023-10-20T11:49:11.819449Z,1697802551819,303
0.8722655773162842,0.8238433599472046,-1.5878239870071411,2023-10-20T11:49:11.830475Z,1697802551830,304
0.910045564174652,0.8753252625465393,-1.5190484523773191,2023-10-20T11:49:11.839418Z,1697802551839,305
0.9603302478790284,0.930531919002533,-1.4468141794204712,2023-10-20T11:49:11.850168Z,1697802551850,306
1.014073610305786,0.981880784034729,-1.3743138313293457,2023-10-20T11:49:11.860726Z,1697802551860,307
1.0632940530776978,1.0205919742584229,-1.3067355155944824,2023-10-20T11:49:11.870622Z,1697802551870,308
1.098679542541504,1.036821365356445,-1.2487353086471558,2023-10-20T11:49:11.879592Z,1697802551879,309
1.1117162704467771,1.0229865312576294,-1.2020423412322998,2023-10-20T11:49:11.890658Z,1697802551890,310
1.101473093032837,0.9776238799095154,-1.1649274826049805,2023-10-20T11:49:11.900259Z,1697802551900,311
1.0771290063858032,0.9060547351837158,-1.133266806602478,2023-10-20T11:49:11.911103Z,1697802551911,312
1.053183913230896,0.8173249959945679,-1.101073980331421,2023-10-20T11:49:11.920337Z,1697802551920,313
1.043206810951233,0.7211456298828125,-1.062362790107727,2023-10-20T11:49:11.931175Z,1697802551931,314
1.0566426515579224,0.6256313920021057,-1.013275384902954,2023-10-20T11:49:11.944051Z,1697802551944,315
1.096418023109436,0.5345070958137512,-0.9534127712249756,2023-10-20T11:49:11.951493Z,1697802551951,316
1.155083417892456,0.4453782439231872,-0.885568380355835,2023-10-20T11:49:11.960629Z,1697802551960,317
1.2194690704345703,0.3527906537055969,-0.8161277174949646,2023-10-20T11:49:11.971712Z,1697802551971,318
1.273212432861328,0.252088338136673,-0.7528063058853149,2023-10-20T11:49:11.980735Z,1697802551980,319
1.3018134832382202,0.1411428749561309,-0.7019895315170288,2023-10-20T11:49:11.994123Z,1697802551994,320
1.2982217073440552,0.0230138711631298,-0.6662049889564514,2023-10-20T11:49:12.001389Z,1697802552001,321
1.2648316621780396,-0.093119703233242,-0.645053505897522,2023-10-20T11:49:12.012649Z,1697802552012,322
1.2112213373184204,-0.1956844180822372,-0.6357415318489075,2023-10-20T11:49:12.021598Z,1697802552021,323
1.1456384658813477,-0.2768315970897674,-0.6354754567146301,2023-10-20T11:49:12.032892Z,1697802552032,324
1.0727390050888062,-0.3342997431755066,-0.6410626769065857,2023-10-20T11:49:12.044016Z,1697802552043,325
0.993720293045044,-0.3694191873073578,-0.6497095227241516,2023-10-20T11:49:12.052592Z,1697802552052,326
0.9101786017417908,-0.384983479976654,-0.6594205498695374,2023-10-20T11:49:12.061500Z,1697802552061,327
0.8250405788421631,-0.3837862312793731,-0.6691315770149231,2023-10-20T11:49:12.072843Z,1697802552072,328
0.7416319251060486,-0.3683549463748932,-0.678177535533905,2023-10-20T11:49:12.082227Z,1697802552082,329
0.6614159941673279,-0.3412172198295593,-0.6864252686500549,2023-10-20T11:49:12.093952Z,1697802552093,330
0.585456907749176,-0.3045014441013336,-0.6926776170730591,2023-10-20T11:49:12.102849Z,1697802552102,331
0.5165483355522156,-0.2591388523578644,-0.6946730017662048,2023-10-20T11:49:12.113839Z,1697802552113,332
0.4605434536933899,-0.2037991285324096,-0.6893518567085266,2023-10-20T11:49:12.126920Z,1697802552126,333
0.4232955873012543,-0.1370189934968948,-0.6744527220726013,2023-10-20T11:49:12.134167Z,1697802552134,334
0.4082633852958679,-0.0589314699172973,-0.6487783193588257,2023-10-20T11:49:12.143338Z,1697802552143,335
0.4158459901809692,0.0283349957317113,-0.6128606796264648,2023-10-20T11:49:12.154161Z,1697802552154,336
0.4424516260623932,0.1201244220137596,-0.5688284039497375,2023-10-20T11:49:12.163380Z,1697802552163,337
0.4823600649833679,0.210450530052185,-0.5193418860435486,2023-10-20T11:49:12.177384Z,1697802552177,338
0.5270575284957886,0.2930610179901123,-0.4681260585784912,2023-10-20T11:49:12.183582Z,1697802552183,339
-2.079496145248413,-1.0217891931533811,0.3231253921985626,2023-10-20T11:52:56.166607Z,1697802776166,340
-2.100248575210572,-1.0292388200759888,0.3087583482265472,2023-10-20T11:52:56.173458Z,1697802776173,341
-2.116744041442871,-1.0348260402679443,0.29252889752388,2023-10-20T11:52:56.184606Z,1697802776184,342
-2.1269872188568115,-1.0356241464614868,0.2761664390563965,2023-10-20T11:52:56.193624Z,1697802776193,343
-2.126854181289673,-1.0288397073745728,0.2612673044204712,2023-10-20T11:52:56.204595Z,1697802776204,344
-2.113950252532959,-1.014472723007202,0.2491617351770401,2023-10-20T11:52:56.216422Z,1697802776216,345
-2.08707857131958,-0.9933212399482728,0.2417121529579162,2023-10-20T11:52:56.224680Z,1697802776224,346
-2.045706987380981,-0.9661834836006165,0.239982783794403,2023-10-20T11:52:56.233551Z,1697802776233,347
-1.9901010990142824,-0.9339906573295592,0.2442396879196167,2023-10-20T11:52:56.244856Z,1697802776244,348
-1.9221237897872925,-0.8986051678657532,0.2524874210357666,2023-10-20T11:52:56.254040Z,1697802776253,349
-1.8439031839370728,-0.8610912561416626,0.2619324326515198,2023-10-20T11:52:56.266599Z,1697802776266,350
-1.757301926612854,-0.8209167122840881,0.2693819999694824,2023-10-20T11:52:56.274938Z,1697802776274,351
-1.6639161109924316,-0.7772834897041321,0.2733728587627411,2023-10-20T11:52:56.285587Z,1697802776285,352
-1.56427800655365,-0.7293933629989624,0.2733728587627411,2023-10-20T11:52:56.294955Z,1697802776294,353
-1.4587867259979248,-0.6769802570343018,0.2683177888393402,2023-10-20T11:52:56.306371Z,1697802776306,354
-1.3465110063552856,-0.6196451187133789,0.2576755285263061,2023-10-20T11:52:56.316208Z,1697802776316,355
-1.2261204719543457,-0.5572549104690552,0.2414460927248001,2023-10-20T11:52:56.326132Z,1697802776326,356
-1.078193187713623,-0.4862178862094879,0.2151065170764923,2023-10-20T11:52:56.335650Z,1697802776335,357
-0.9202887415885924,-0.4151808619499206,0.1837118715047836,2023-10-20T11:52:56.350578Z,1697802776350,358
-0.7722284197807312,-0.3315061628818512,0.1680145561695099,2023-10-20T11:52:56.355870Z,1697802776355,359
-0.5979615449905396,-0.2312029302120208,0.1523172408342361,2023-10-20T11:52:56.367027Z,1697802776366,360
-0.3893733918666839,-0.1290373057126999,0.1227849870920181,2023-10-20T11:52:56.376003Z,1697802776375,361
-0.1602989286184311,-0.0204863362014293,0.0925875902175903,2023-10-20T11:52:56.387054Z,1697802776387,362
0.0881976634263992,0.0929866805672645,0.0626562610268592,2023-10-20T11:52:56.399745Z,1697802776399,363
0.3538548946380615,0.2105835676193237,0.0336561240255832,2023-10-20T11:52:56.407064Z,1697802776407,364
0.6358745694160461,0.3339006602764129,0.0045229573734104,2023-10-20T11:52:56.416535Z,1697802776416,365
